time	x	y	z	
7.285387	0.1532169	-0.3431129	0.2928948
7.299451	0.152169	-0.3424186	0.2900288
7.315619	0.151194	-0.3424995	0.2873931
7.324863	0.1502828	-0.3431908	0.2849562
7.33958	0.1487685	-0.341125	0.2805064
7.35355	0.14735	-0.3397294	0.2763684
7.368701	0.1472815	-0.33787	0.2756941
7.384532	0.1471655	-0.3365115	0.2749436
7.392563	0.1474985	-0.3345342	0.2756
7.407094	0.1477641	-0.3329463	0.2760949
7.421722	0.1479767	-0.3316659	0.2764632
7.43734	0.1479938	-0.3308943	0.2766099
7.451656	0.1479917	-0.3302887	0.2766884
7.466102	0.1477844	-0.3300226	0.2765806
7.482353	0.1475805	-0.3298424	0.2764414
7.491498	0.1473794	-0.3297299	0.2762775
7.504931	0.1472464	-0.3282145	0.2774237
7.519969	0.1471091	-0.3268724	0.2784344
7.537126	0.1476732	-0.3240913	0.280244
7.551837	0.1481752	-0.321551	0.2818929
7.56176	0.1486194	-0.3192647	0.2833716
7.574912	0.1501761	-0.3140377	0.2858416
7.590137	0.151595	-0.3092141	0.2881336
7.604251	0.1527861	-0.2928603	0.2871869
7.619023	0.1539052	-0.277768	0.2864036
7.634863	0.1551463	-0.2649033	0.287752
7.646544	0.1563313	-0.2526925	0.2890458
7.658898	0.1574722	-0.240997	0.2902963
7.672643	0.1592897	-0.2291752	0.2958043
7.685829	0.1610176	-0.2177205	0.3009111
7.701016	0.1602852	-0.2015521	0.2981201
7.717153	0.1596907	-0.1860226	0.2956941
7.728231	0.1592077	-0.1709989	0.293568
7.745889	0.160359	-0.157703	0.2980634
7.756684	0.1614362	-0.1446011	0.3021531
7.770001	0.1602343	-0.1271292	0.3014793
7.784416	0.1591739	-0.1101439	0.3009311
7.801364	0.1559617	-0.09539844	0.2966088
7.81265	0.1529989	-0.08075046	0.2926459
7.826962	0.1502637	-0.06635486	0.289007
7.840788	0.1483268	-0.05028894	0.2854245
7.85463	0.1464609	-0.03444286	0.2820392
7.868878	0.1465173	-0.02092464	0.2814847
7.88341	0.1464671	-0.007371867	0.2808366
7.899657	0.1463381	0.006197251	0.2801188
7.908504	0.1482564	0.01574565	0.2808587
7.922781	0.1499309	0.02567892	0.2814154
7.93646	0.1511479	0.03216716	0.2801645
7.952661	0.1522361	0.03921235	0.2789405
7.967426	0.1506629	0.04201607	0.2730398
7.980321	0.1492177	0.04547911	0.267557
7.996793	0.1478568	0.04951664	0.2623432
8.007725	0.1460307	0.05124776	0.2571582
8.021017	0.1443128	0.05356173	0.2521854
8.035002	0.1412556	0.05355798	0.2406851
8.052838	0.138386	0.05414619	0.2298797
8.066974	0.1356629	0.05519538	0.2196176
8.073536	0.1375277	0.05550274	0.2289293
8.089499	0.1390688	0.05619882	0.2368018
8.104252	0.1422208	0.05251442	0.2439855
8.119116	0.1450188	0.04946532	0.2502595
8.133697	0.1470269	0.04541443	0.2575838
8.149825	0.1488556	0.04187284	0.264209
8.158976	0.150535	0.03874474	0.2702555
8.173143	0.1507949	0.03199352	0.2730778
8.186553	0.1510826	0.02582928	0.2758076
8.203444	0.1448175	0.01606746	0.2659461
8.218448	0.1391008	0.007000796	0.2570377
8.231869	0.1338191	-0.001527466	0.2488877
8.247039	0.1303437	-0.01336358	0.245019
8.258424	0.1270028	-0.02452138	0.2412805
8.271435	0.1296137	-0.03525268	0.2483876
8.285127	0.1318134	-0.04555238	0.2546662
8.30202	0.134875	-0.05808945	0.2651385
8.316019	0.1375924	-0.07016498	0.2747284
8.326715	0.1400368	-0.08187211	0.2836174
8.341584	0.1417558	-0.09405323	0.2855377
8.355835	0.143353	-0.1059547	0.2875912
8.369559	0.1439689	-0.1204318	0.2898008
8.384092	0.14458	-0.1345043	0.292088
8.400854	0.1451891	-0.1482556	0.2944327
8.41057	0.1464592	-0.1598592	0.2953371
8.425481	0.1476668	-0.1714378	0.2964144
8.438584	0.1515359	-0.1826496	0.2997193
8.452418	0.1551369	-0.193875	0.3029549
8.468123	0.155537	-0.1975331	0.3029543
8.482245	0.156005	-0.2018041	0.303158
8.497592	0.1565235	-0.2065352	0.3035208
8.50756	0.1542914	-0.206799	0.2991136
8.521464	0.1523352	-0.2077785	0.2952327
8.535718	0.1516722	-0.2071792	0.2939802
8.553383	0.1510935	-0.2071963	0.2928756
8.56799	0.1505815	-0.2077008	0.291888
8.575518	0.1504404	-0.2044502	0.2920016
8.591492	0.1503113	-0.2018689	0.2920965
8.606211	0.1512513	-0.1994444	0.2925988
8.619967	0.1521095	-0.1974711	0.2930535
8.635209	0.1527259	-0.195595	0.2934821
8.651418	0.1533056	-0.1940186	0.2938804
8.660234	0.1538533	-0.1926809	0.294253
8.674587	0.1542132	-0.1908973	0.2941881
8.691724	0.15457	-0.1893149	0.2941454
8.705559	0.1552798	-0.1876274	0.2945656
8.729572	0.1570129	-0.1833476	0.2962658
8.74411	0.1580174	-0.1807993	0.2974845
8.758304	0.1589841	-0.1783977	0.2986391
8.771927	0.1580396	-0.1742416	0.2960296
8.787195	0.1572303	-0.1703342	0.2936936
8.802833	0.1556592	-0.1675775	0.2904179
8.818131	0.1542324	-0.1648886	0.287387
8.83206	0.1529281	-0.1622693	0.2845677
8.844589	0.1526544	-0.1624552	0.2843785
8.856078	0.1523729	-0.1624419	0.2841011
